ID;Name;Measured;MF;Koella;Clark-WSL;;SCS-NAM;;;;;;;;
2;Bäreriedbach / Schöneggbach;3;2.894085085;4.168388229;2.852600519;;2.946106771;mässig;;;0.105914915;-1.168388229;0.147399481;;0.053893229
4;Dorfbach Jegenstorf;7.5;7.697341551;7.083506897;7.903387453;;9.185039063;Schwach – mässig;;;-0.197341551;0.416493103;-0.403387453;;-1.685039063
5;Hettiswilbach;5;5.985174773;4.700829361;5.354319346;;5.665866699;Schwach – mässig;;;-0.985174773;0.299170639;-0.354319346;;-0.665866699
6;Bruuchbach in Fraubrunnen;9;9.306625223;9.918681183;6.977408075;;8.569144694;Schwach – mässig;;;-0.306625223;-0.918681183;2.022591925;;0.430855306
8;Steinbach;13.5;23.09764642;8.177482917;12.47065535;;14.60152344;stark;;;-9.59764642;5.322517083;1.02934465;;-1.101523438
9;Chrümpelgrabebach;22.5;28.51742528;14.84933371;20.60529142;;20.73925293;stark;;;-6.01742528;7.65066629;1.89470858;;1.76074707
10;Hüenerbach;10.5;18.26912491;7.956039345;9.851794286;;12.36144694;Stark – sehr stark;;;-7.76912491;2.543960655;0.648205714;;-1.86144694
11;Obere Frittebach;15;30.01812238;16.35099469;27.94017797;;25.71367513;;;;-15.01812238;-1.35099469;-12.94017797;;-10.71367513
17;Dürrbach;;25.62164114;16.12884283;22.50174527;;18.09789225;mässig;;;-25.62164114;-16.12884283;-22.50174527;;-18.09789225
18;Schwändigrabe;13.5;9.59583657;6.450628038;9.973078487;;9.846308594;mässig;;;3.90416343;7.049371962;3.526921513;;3.653691406
31;Wileringbächli;2;2.883260067;4.868708053;1.928773163;;2.481903076;mässig bis schwach;;;-0.883260067;-2.868708053;0.071226837;;-0.481903076
32;Brüggelbächli;1.95;1.483721535;1.469934516;1.484650561;;2.03446106;schwach;;;0.466278465;0.480065484;0.465349439;;-0.08446106
33;Muttergebiet: Neuenegg, Brüggelbächli / Wileringbächli;4.05;4.08987104;6.631976338;2.808235598;;2.737923787;mässig;;;-0.03987104;-2.581976338;1.241764402;;1.312076213
35;Bächu;2.5;5.869652554;7.413352883;6.621631799;;6.331549072;schwach;;;-3.369652554;-4.913352883;-4.121631799;;-3.831549072
36;Vechigenbach;4;3.710324329;3.446899886;3.965088031;;4.541784261;;;;0.289675671;0.553100114;0.034911969;;-0.541784261
37;Lindentalbach;1.35;4.237282742;1.735343789;2.835444566;;3.378831991;mässig;;;-2.887282742;-0.385343789;-1.485444566;;-2.028831991
38;Geissbach;48;39.30769768;12.86643133;25.6350255;;19.00041504;stark;;;8.69230232;35.13356867;22.3649745;;28.99958496
39;Aeschougrabe;22;21.81226581;8.038746564;13.74311175;;19.15397461;stark;;;0.18773419;13.96125344;8.25688825;;2.846025391
40;Steinebach;38;21.55986722;14.10038949;17.23367532;;19.11290365;mässig;;;16.44013278;23.89961051;20.76632468;;18.88709635
41;Nidermattgrabe;22;26.53734718;8.507107998;13.23836396;;18.39939453;stark;;;-4.53734718;13.492892;8.76163604;;3.600605469
;;;;;;;;;;;107.316717;141.1189579;113.0389544;;102.6385484
