nam_id,project_id,project_name,user_id,return_period,return_period_desc,catchment_area_km2,channel_length_m,delta_h_m,water_balance_mode,precipitation_factor,storm_center_mode,routing_method,readiness_to_drain,HQ,Tc,TB,TFl,i,S,Pe,effective_curve_number,calculation_status,error_message,calculation_time
7,HTsoqW6k6gMTZjWCCqsqt,Steinbach,1,3,100,3.158225,3360.0,537.9562377929688,cumulative,0.7,centroid,time_values,0,16.0108984375,30.0,30.0,0.0,136.86719497213912,87.05850219726562,3.0417525865003285,74.60250854492188,success,,2025-08-28T17:20:54.353270
8,PrqsOJQEol4lLdxNmpbk7,Chrümpelgrabebach,1,3,100,6.24395,4630.0,528.82275390625,cumulative,0.7,centroid,time_values,0,20.24595703125,50.0,50.0,0.0,88.20197786535117,90.35994720458984,1.945495114270614,73.89787292480469,success,,2025-08-28T17:20:54.629331
9,w26McYb6wIBzz76p0A6he,Hüenerbach,1,3,100,2.415275,2605.0,394.3074951171875,cumulative,0.7,centroid,time_values,-4,11.808600260416666,30.0,30.0,0.0,136.86719497213912,105.93920135498047,2.93347968916583,70.71053314208984,success,,2025-08-28T17:20:54.748546
10,Wv3NMr8yDswu755YjEf27,Dürrbach,1,3,100,9.0106,4310.0,472.5619506835938,cumulative,0.7,centroid,time_values,0,18.386682942708333,40.0,40.0,0.0,87.70127549473983,83.06007385253906,1.2243368660938228,75.4647445678711,success,,2025-08-28T17:20:55.144419
11,bw99E61BEYfi7a_9qHDtB,Schwändigrabe,1,3,100,3.53165,3725.0,422.908935546875,cumulative,0.7,centroid,time_values,0,9.124542643229166,30.0,30.0,0.0,109.66939708671599,88.9046401977539,1.5501891710496507,74.22539520263672,success,,2025-08-28T17:20:55.310646
13,cD_mUdXMWyAuBI1aSkr4q,Wileringbächli,1,3,100,4.2786,5325.0,139.5607299804688,cumulative,0.7,centroid,time_values,0,2.547549031575521,50.0,50.0,0.0,55.44069372223475,77.92998504638672,0.35724989925333345,76.57003784179688,success,,2025-08-28T17:20:55.582451
14,edw2sspU1LXhtThKIS9_A,Brüggelbächli,1,3,100,1.17175,2590.0,125.4453735351562,cumulative,0.7,centroid,time_values,0,2.0710888671875,30.0,30.0,0.0,81.58376732026979,82.31098937988281,1.060510621132921,75.67674255371094,success,,2025-08-28T17:20:55.670620
15,60uV93hIH19_Mrys53lgI,"Muttergebiet: Neuenegg, Brüggelbächli / Wileringbächli",1,3,100,5.816375,5610.0,154.4347534179688,cumulative,0.7,centroid,time_values,0,2.5208001708984376,40.0,40.0,0.0,65.63231446947617,79.43408203125,0.26003827169655713,76.26178741455078,success,,2025-08-28T17:20:56.027829
16,Ln-KXHmtYuH5OGROT1xuQ,Bächu,1,3,100,4.64345,5460.0,328.1566162109375,cumulative,0.7,centroid,time_values,0,6.173845621744792,40.0,40.0,0.0,77.48375260535371,87.1465072631836,0.7977489524054044,74.7552261352539,success,,2025-08-28T17:20:56.408920
18,Ljnhq9tWXen1pF-fjpUQf,Lindentalbach,1,3,100,1.1583,1975.0,341.884765625,cumulative,0.7,centroid,time_values,0,3.4172013346354166,20.0,20.0,0.0,135.39959345408124,81.39965057373047,1.7701120614532073,75.8248291015625,success,,2025-08-28T17:20:56.484205
19,6seGUSh3iWrQm8-AN3IUc,Geissbach,1,3,100,7.998075,4490.0,576.0554809570312,cumulative,0.7,centroid,time_values,0,19.879306640625,40.0,40.0,0.0,104.96867170169023,86.96424102783203,1.4913068437561539,74.618408203125,success,,2025-08-28T17:20:56.943637
20,1Y7DNlCuBbQhxXvYDvLvQ,Aeschougrabe,1,3,100,3.65635,3210.0,412.0089111328125,cumulative,0.7,centroid,time_values,0,20.541350911458334,30.0,30.0,0.0,137.15953444007755,85.32416534423828,3.3707961619853135,74.98284149169922,success,,2025-08-28T17:20:57.143909
21,7Zl7mJeECz7NSn5HgyJkC,Steinebach,1,3,100,7.510025,5085.0,432.8861083984375,cumulative,0.7,centroid,time_values,0,18.4313623046875,50.0,50.0,0.0,85.30099920157559,90.15938568115234,1.4725406883216101,73.9581527709961,success,,2025-08-28T17:20:57.488258
22,P5QfdweVgL6LhJeHqUFGU,Nidermattgrabe,1,3,100,4.0164,3150.0,457.0424194335938,cumulative,0.7,centroid,time_values,0,18.88447265625,30.0,30.0,0.0,137.15953444007755,81.22493743896484,2.8211043705183747,75.85957336425781,success,,2025-08-28T17:20:57.616733
23,lh9y-yAaTC5lNwgp3Tai7,Obere Frittebach,1,3,100,8.30895,7075.0,537.101318359375,cumulative,0.7,centroid,time_values,-4,10.640048014322916,50.0,50.0,0.0,87.6902106609772,105.67620086669922,0.7683315952790364,70.77054595947266,success,,2025-08-28T17:20:57.973050
24,Kvzlxgpz3W4rGnLKgGhLY,Vechigenbach,1,3,100,2.220675,3695.0,277.3685913085938,cumulative,0.7,centroid,time_values,0,3.824130045572917,40.0,40.0,0.0,77.48375260535371,90.34501647949219,1.0332345018265843,74.01471710205078,success,,2025-08-28T17:20:58.058753
2,p0rQeezeL4-fzzZRDcqQn,Bäreriedbach / Schöneggbach,1,3,100,2.1207,4015.0,152.6170043945312,cumulative,0.7,centroid,time_values,0,2.7121126302083334,40.0,40.0,0.0,69.19638853413205,77.1132583618164,0.7673256840312161,77.03449249267578,success,,2025-08-28T17:20:58.136831
4,GFH_KNcBPiH5uAALNiPVJ,Hettiswilbach,1,3,100,5.000875,4020.0,207.2139892578125,cumulative,0.7,centroid,time_values,0,5.39429443359375,40.0,40.0,0.0,69.19638853413205,82.68980407714844,0.647202071668708,75.63167572021484,success,,2025-08-28T17:20:58.329929
3,s6PPVu65pUKPpPtgnNyw0,Dorfbach Jegenstorf,1,3,100,7.3346,3840.0,81.65814208984375,cumulative,0.7,centroid,time_values,0,9.69649169921875,40.0,40.0,0.0,69.19638853413205,77.13478088378906,0.7932123114459207,76.93663024902344,success,,2025-08-28T17:20:58.666823
5,FoY8NHu-VeDxY43-RkWJ8,Bruuchbach in Fraubrunnen,1,3,100,9.46205,5045.0,118.1672058105469,cumulative,0.7,centroid,time_values,0,9.198238118489583,40.0,40.0,0.0,69.19638853413205,76.55885314941406,0.5832713704845938,77.06370544433594,success,,2025-08-28T17:20:59.185808
6,oiK7Ft3UkZpqezsEiaZBV,Mutzgraben,1,3,100,7.327725,4515.0,352.6048278808594,cumulative,0.7,centroid,time_values,0,4.638743489583334,40.0,40.0,0.0,92.69595198861464,85.91202545166016,0.3798240373035287,74.89879608154297,success,,2025-08-28T17:20:59.455195
